"filename", "language", "C#", "XML", "JSON", "EditorConfig", "comment", "blank", "total"
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\DerivativeCalculator.csproj", "XML", 0, 9, 0, 0, 0, 3, 12
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\DerivativeManager.cs", "C#", 116, 0, 0, 0, 1, 37, 154
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\Differentiator.cs", "C#", 56, 0, 0, 0, 1, 20, 77
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\Exceptions.cs", "C#", 32, 0, 0, 0, 0, 5, 37
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\ExerciseGenerator.cs", "C#", 580, 0, 0, 0, 2, 111, 693
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\Node.cs", "C#", 174, 0, 0, 0, 0, 22, 196
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\Operator.cs", "C#", 2286, 0, 0, 0, 64, 377, 2727
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\Parser.cs", "C#", 256, 0, 0, 0, 13, 47, 316
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\Program.cs", "C#", 40, 0, 0, 0, 0, 8, 48
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\StepDescription.cs", "C#", 20, 0, 0, 0, 0, 3, 23
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\TreeUtils.cs", "C#", 284, 0, 0, 0, 3, 79, 366
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\bin\Debug\net6.0\DerivativeCalculator.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\bin\Debug\net6.0\DerivativeCalculator.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\bin\Release\net6.0\DerivativeCalculator.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\bin\Release\net6.0\DerivativeCalculator.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Debug\net6.0\DerivativeCalculator.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Debug\net6.0\DerivativeCalculator.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 10, 0, 1, 11
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Debug\net6.0\DerivativeCalculator.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\DerivativeCalculator.csproj.nuget.dgspec.json", "JSON", 0, 0, 67, 0, 0, 0, 67
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\DerivativeCalculator.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\DerivativeCalculator.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Release\net6.0\DerivativeCalculator.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Release\net6.0\DerivativeCalculator.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 10, 0, 1, 11
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\Release\net6.0\DerivativeCalculator.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\obj\project.assets.json", "JSON", 0, 0, 73, 0, 0, 0, 73
"Total", "-", 3882, 27, 207, 20, 108, 728, 4972